  Event Name,       Type,     Event ID,    Version,    Channel,      Level,     Opcode,       Task,            Keyword,        PID,        TID,     Processor Number,  Instance ID,   Parent Instance ID,                              Activity ID,                      Related Activity ID,           Clock-Time, Kernel(ms),   User(ms), User Data
  EventTrace,     Header,            0,          2,          0,          0,          0,          0, 0x0000000000000000, 0x000020EC, 0x00003794,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   132247862638609634,          0,         15,     8192, 83951626,    17763,        8, 132247862956080717,   156250,        0, 0x0,        3,        1,        8,        0,     3600, 0x9, 0x6, 132247782185000000,         10000000, 132247862638609634, 0x1,        0, "mysession", "C:\Users\cstuser\mytrace.etl"
  EventTrace, PartitionInfoExtension,            0,          2,          0,          0,         80,          0, 0x0000000000000000, 0x000020EC, 0x00003794,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   132247862638609634,          0,         15,      0,      0,        0,                0, {00000000-0000-0000-0000-000000000000}, {00000000-0000-0000-0000-000000000000}
     Startup,          0,            2,          0,         11,          5,          0,          0, 0x0000000000000000, 0x00002F50, 0x00002FC0,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   132247862727959243,         15,          0, "Application Started"
      Action,          0,            3,          0,         11,          5,          0,          0, 0x0000000000000000, 0x00002F50, 0x00002FC0,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   132247862727959351,         15,          0, "Calling Calculate"
Action Complete,          0,            4,          0,         11,          5,          0,          0, 0x0000000000000000, 0x00002F50, 0x00002FC0,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   132247862727959818,         15,          0, "Completed Call to Calculate, Result: 5"
    Complete,          0,            5,          0,         11,          5,          0,          0, 0x0000000000000000, 0x00002F50, 0x00002FC0,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   132247862727959840,         15,          0, "Application Done"
     Startup,          0,            2,          0,         11,          5,          0,          0, 0x0000000000000000, 0x00001DB8, 0x00003774,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   132247862856847466,         30,         30, "Application Started"
      Action,          0,            3,          0,         11,          5,          0,          0, 0x0000000000000000, 0x00001DB8, 0x00003774,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   132247862856847578,         30,         30, "Calling Calculate"
Action Complete,          0,            4,          0,         11,          5,          0,          0, 0x0000000000000000, 0x00001DB8, 0x00003774,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   132247862856848505,         30,         30, "Completed Call to Calculate, Result: 5"
    Complete,          0,            5,          0,         11,          5,          0,          0, 0x0000000000000000, 0x00001DB8, 0x00003774,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   132247862856848531,         30,         30, "Application Done"
